준준,178,57
영현,146,50
서기,181,79
정인,147,87
유영,141,89
영빈,170,42
현승,147,88
승준,199,57
규유,156,47
재정,146,59
재성,196,72
현인,145,96
정우,165,70
규승,152,80
주수,199,42
재철,151,56
준유,164,76
기수,171,87
영영,158,91
주재,186,57
주용,140,77
주학,178,53
수현,154,45
수성,197,96
유재,156,52
승규,196,77
민서,178,99
성영,165,94
영용,165,92
승철,187,58
빈빈,149,92
용학,155,66
빈인,178,58
우빈,165,43
성철,159,51
수유,197,44
준주,193,97
영학,196,92
규성,196,62
영빈,160,98
재성,192,77
승인,190,77
철준,167,82
인성,149,90
준정,145,92
우빈,166,47
기빈,183,64
규인,179,45
학학,159,81
성학,143,73
승규,177,88
서수,148,48
학철,158,65
주기,190,90
우영,177,90
수빈,179,84
서민,165,45
재철,171,44
유유,188,96
준성,175,40
규철,166,75
수수,171,88
현철,155,62
영우,152,77
현성,143,73
수재,164,46
용재,158,83
유용,140,54
기빈,144,75
현빈,194,90
학우,159,44
우승,157,50
기승,163,60
서주,192,55
유규,152,53
우기,191,72
인성,164,50
민유,169,46
유유,177,76
수주,185,59
성성,149,75
민인,187,65
민규,165,83
우현,148,40
수우,144,53
주민,185,47
영인,163,88
영영,195,77
규영,168,97
용준,190,40
승철,170,64
우준,147,72
성영,145,70
규기,155,97
정규,142,82
인재,146,81
인인,147,86
유서,190,74
유영,149,62
서성,184,93
현민,185,79
수인,149,99
민학,145,44
학정,188,61
수성,175,46
유준,183,91
학빈,189,97
수승,188,78
재기,190,43
현준,154,81
철인,151,41
주현,148,65
현민,184,45
서준,189,42
영재,157,87
주기,186,51
주빈,151,97
영수,166,65
서빈,149,51
기서,173,41
정민,191,90
재정,199,76
민기,197,67
빈승,196,52
수철,177,45
수우,163,48
정승,193,60
유학,149,74
규기,150,58
철성,199,55
인철,192,89
빈수,162,83
철민,195,56
용영,167,96
인민,190,91
유정,164,40
정인,162,82
규성,157,79
규주,165,52
준현,199,59
승영,196,66
민기,163,51
철용,154,87
민빈,170,79
정빈,150,94
용재,170,83
인민,170,62
기수,161,42
정철,183,90
유성,165,73
영승,177,70
영유,145,65
주학,181,99
준성,177,96
규민,191,91
주주,197,74
영민,184,97
유용,191,91
기재,177,50
용주,154,40
학학,161,59
현정,166,46
우서,149,48
현영,160,46
승철,144,47
우학,173,95
정용,179,45
성민,169,43
철인,193,87
승성,156,55
유기,165,76
성주,140,57
학현,141,72
빈현,180,94
우인,143,56
유용,186,50
인서,190,60
준영,146,61
정정,143,44
현주,157,49
서영,187,89
재승,173,84
정우,165,61
영영,183,86
서영,183,74
기철,192,57
우유,142,42
수학,188,74
학서,185,58
빈서,163,66
인수,151,71
재재,188,66
인주,175,93
정현,148,40
수준,180,99
서민,164,83
유철,157,70
현영,162,80
수철,154,58
준승,175,51
민현,177,94
민우,165,63
주용,156,40
영학,171,42
영주,154,56
인민,167,80
성현,179,64
정학,187,82
주승,197,50
현승,156,60
민철,186,81
우우,146,94
수승,194,90
규유,170,95
용기,193,72
성유,151,99
우철,151,45
인성,187,43
용정,157,44
학기,170,64
성승,188,94
현승,143,97
규기,189,87
주빈,145,96
철기,186,80
민빈,196,89
서유,147,79
수승,182,89
영수,189,76
준용,173,82
준민,168,71
승빈,160,62
유학,153,63
서주,150,82
우빈,173,97
규주,162,90
성서,151,56
준서,169,51
성정,150,49
현준,140,93
주용,146,53
우현,148,72
성민,180,97
인철,151,46
기유,197,40
정철,163,75
유민,146,63
현규,193,66
인서,190,76
우철,146,90
주승,150,46
수기,143,82
용기,175,89
인재,176,70
승서,177,61
인재,144,67
용규,196,63
빈철,191,98
인용,147,71
학영,179,92
승서,196,85
기빈,154,99
우기,181,60
우주,158,41
빈우,180,50
성성,166,83
인인,168,90
철영,151,49
성성,177,99
학주,180,56
성현,198,72
현정,185,48
용빈,179,79
우서,148,45
재학,194,68
용빈,184,40
서인,170,75
영학,140,60
인준,155,59
주민,169,79
성정,161,72
주기,167,77
정성,172,52
수성,154,59
영민,167,96
서승,172,73
준유,146,75
서용,189,85
우기,171,57
주수,149,57
인우,180,58
유학,140,91
현재,179,80
기용,181,50
성규,185,51
성준,142,85
정현,197,69
주주,182,45
서영,152,58
영인,172,61
기학,164,84
서성,155,90
우유,143,45
서규,194,60
학민,180,48
준서,143,80
승승,185,66
기철,159,97
영주,173,47
성재,166,65
유영,181,99
유우,155,90
현주,184,85
정영,173,97
철현,193,60
용영,165,94
인준,190,93
주승,171,90
정기,177,57
규기,145,87
인철,161,72
학인,183,63
유준,173,52
용서,155,91
성재,178,84
규준,189,80
영용,173,81
정우,165,83
유성,142,49
우주,191,98
우철,162,59
민영,180,49
민수,196,98
영유,154,89
승정,154,86
현승,165,47
우우,170,96
용규,194,87
준수,153,61
유학,192,48
학유,156,46
용규,199,81
영민,178,74
학주,143,55
정서,146,71
우민,145,64
정성,170,49
승규,156,88
인용,155,86
주재,159,97
승재,181,54
주우,185,57
서수,162,97
민현,142,48
기주,178,41
민기,157,44
인주,167,44
영현,176,76
기승,147,64
용규,176,59
주유,196,67
수정,171,62
서승,166,72
성영,154,49
주유,182,46
재승,176,77
준수,170,84
철용,179,98
성현,140,59
현영,172,82
학기,175,58
승철,151,81
재인,160,88
우우,149,71
유인,151,77
주주,168,69
유서,147,43
우학,148,64
유현,156,74
수인,191,69
현학,189,92
유준,187,82
인용,153,48
규수,192,56
용승,177,76
재영,158,43
준인,144,46
용서,197,83
수학,154,44
우기,194,62
주기,184,78
기영,190,54
유준,178,49
현빈,178,86
기빈,150,50
정민,185,84
주현,151,79
기학,153,84
재성,195,49
영용,170,58
우우,190,89
규학,143,49
빈성,143,61
철우,181,64
학준,156,42
주성,194,71
성서,141,71
규학,186,78
민재,188,60
유주,170,41
용수,192,79
우서,175,81
정영,174,66
현기,185,98
주서,154,98
승승,184,83
승서,193,73
인정,196,46
유학,144,58
수승,180,93
기승,198,73
민학,146,57
승유,175,51
현주,173,94
수인,182,44
준학,146,64
재우,160,89
성기,186,52
정현,190,74
우서,176,74
서규,141,95
학성,175,48
인철,164,41
성승,169,95
용철,143,84
용성,186,45
현학,175,96
수용,140,63
승주,150,56
유우,198,57
학주,164,81
승유,155,84
영규,143,52
승주,168,63
현규,180,75
재규,142,56
주민,175,70
수빈,146,79
철규,174,47
현성,166,82
서영,186,42
현빈,181,61
승규,144,79
용승,167,42
재현,199,79
기재,186,69
수승,165,56
용정,160,83
수현,144,81
규주,193,56
정용,159,96
성성,193,55
서용,178,74
인수,179,65
빈주,188,48
수현,160,81
우용,151,68
용학,185,71
영민,186,97
수정,161,73
서준,173,51
학주,146,51
정학,197,57
준인,199,57
민유,159,53
빈승,179,50
수학,174,41
영철,140,97
주정,173,59
준학,158,45
승승,163,62
현기,177,81
재용,153,59
영현,150,83
현승,190,95
준재,197,71
유정,186,41
서용,155,96
재인,183,45
재학,184,78
재영,161,77
기준,180,69
서우,198,79
규우,153,44
승규,152,49
철학,194,71
유용,160,99
준주,140,78
수정,197,79
민주,164,63
재철,152,68
유영,170,75
철주,159,84
수서,198,55
철수,159,74
정성,171,92
빈준,141,41
민주,171,72
서재,189,54
민학,194,54
철인,169,88
빈서,181,78
성민,168,42
주빈,179,92
학승,155,53
수유,198,49
유주,168,47
용정,199,47
영민,151,68
인승,177,84
기규,199,41
재준,173,84
정현,155,89
영승,149,67
빈수,155,77
준재,174,55
용준,144,77
재수,156,74
규준,168,65
재정,197,77
정서,186,75
성빈,148,52
규영,164,75
인주,174,80
우성,186,77
철유,155,93
빈규,162,63
철서,178,98
서현,187,48
승재,188,43
정학,180,65
승수,197,60
민영,174,56
준철,195,82
영준,199,56
정현,166,90
현주,162,71
인규,158,82
영정,193,45
영정,189,95
빈기,146,84
우유,172,81
재성,168,43
현영,166,59
영규,190,74
빈용,184,70
재현,193,97
민정,147,58
준인,172,51
철준,141,60
민학,197,40
주유,167,79
용정,170,89
준준,173,90
빈학,162,83
현용,170,70
철규,194,82
민정,156,60
서수,148,63
학민,178,63
서학,191,43
용재,181,81
학재,196,84
인영,143,51
승규,168,44
영우,158,44
용철,156,75
규현,140,70
용재,151,72
용기,179,77
수현,163,65
기학,192,97
인재,173,71
승주,177,82
용철,142,50
정정,172,73
정민,198,48
영철,144,55
서빈,157,96
현서,190,74
기성,188,97
정우,163,49
유철,177,48
서규,153,56
인철,150,93
서인,144,41
승주,158,40
철승,182,98
영수,171,58
규재,160,43
서용,190,93
학준,147,94
수성,181,98
서학,155,88
주빈,158,69
정수,171,77
주준,144,94
학유,155,53
성서,169,90
수철,173,40
민성,161,87
정승,163,41
수서,173,64
철준,165,65
승철,181,83
현빈,190,55
빈수,184,61
기서,192,58
규정,155,42
철학,150,90
기인,167,86
유영,197,88
준수,153,40
성기,183,85
규빈,164,51
용규,188,88
준영,180,73
영수,199,96
철영,164,81
학현,161,75
준성,143,50
용승,181,78
승현,177,94
유철,183,91
학주,175,40
주승,191,84
빈정,197,67
민빈,143,83
우우,197,75
준학,190,78
우수,159,73
영민,180,66
빈승,182,70
영빈,142,92
빈학,177,95
규빈,164,74
현철,190,69
성빈,174,47
우서,176,71
학승,156,72
승철,179,78
주인,141,56
기용,145,65
민성,192,68
빈인,161,97
승승,149,56
수주,167,53
기철,155,67
수규,188,92
영빈,161,85
현재,151,90
수승,164,63
준빈,173,45
승빈,182,88
유영,152,89
정규,177,77
준수,199,79
수철,152,57
민유,144,70
재민,168,96
빈우,187,59
우재,161,84
학빈,166,99
민주,166,90
영승,147,50
기규,167,49
정규,173,88
승규,182,98
유현,161,45
영철,191,79
용우,144,65
인성,178,64
학재,175,72
기빈,187,48
주용,159,72
유우,164,53
정빈,164,99
승승,195,55
주철,150,58
승정,164,93
수영,189,78
승정,142,75
주승,185,94
인민,186,90
유현,173,58
정우,190,97
용학,154,86
수학,141,81
현현,179,49
수재,174,61
학성,188,90
주영,167,43
성수,162,43
우인,194,55
수정,178,94
주학,179,94
정용,189,54
준주,144,40
재빈,179,75
영성,165,89
정인,199,54
정빈,178,55
재정,188,68
규기,158,75
우정,149,49
성재,181,93
우현,189,88
용승,142,61
학철,163,52
학승,145,59
영주,195,76
준주,167,61
현기,174,86
승영,196,96
민유,174,64
정주,157,86
용정,184,83
용빈,185,85
유재,186,42
인빈,186,80
인재,180,64
우우,161,41
성규,175,90
수빈,163,55
인용,189,79
재주,140,55
민수,196,60
빈영,167,85
우영,178,88
빈빈,181,50
준용,160,99
빈서,141,96
철철,185,49
정정,177,53
기학,174,56
정규,144,70
재수,158,87
성수,145,76
영민,143,87
인재,185,74
유규,175,92
수주,159,86
학승,191,79
우규,192,68
주민,160,65
현성,186,79
민인,169,73
규성,156,74
현철,186,42
주기,175,67
유정,141,74
민수,148,49
재승,179,87
수준,141,48
영주,187,91
준우,167,80
학정,192,74
용현,143,46
철규,171,46
승수,178,53
성용,189,68
빈유,158,68
기현,160,46
우규,142,74
기영,176,52
빈규,166,95
우재,178,65
우성,153,55
준용,182,90
성서,187,61
영학,185,42
기빈,163,88
현현,150,53
주민,177,47
서준,142,61
수정,165,68
승빈,170,89
우준,147,90
철빈,161,65
서현,163,53
서주,169,96
성서,177,54
영재,189,92
유현,187,56
기기,146,98
빈기,188,70
준학,175,55
우영,149,83
현현,159,60
서영,148,49
민기,150,83
서성,174,64
우성,164,97
영용,162,90
유승,179,53
기빈,184,63
용재,143,83
빈성,169,53
기승,187,40
학서,177,65
규규,191,95
영철,162,84
정유,170,84
수인,198,40
현학,195,99
용인,162,56
용성,175,44
서승,184,94
유규,141,80
재준,197,86
성철,177,78
민재,176,90
학민,172,94
민성,171,84
성빈,143,55
규빈,182,74
서빈,142,48
영현,142,84
수승,166,64
주재,168,78
성수,188,95
준규,199,63
기인,183,76
학용,161,57
학용,157,83
승현,194,90
재우,152,87
성규,167,89
유주,142,48
현준,172,85
주재,152,85
정재,143,66
학학,159,60
성수,179,54
정용,153,52
성준,149,70
